login,PR,commit,issue,repo,unknown,acc_type
2611ansh,0.0,0.0,0.0,1.0,0.0,
2659170494,0.0,0.0,0.0,3.0,0.0,
2664104909,0.0,0.0,0.0,1.0,0.0,
2723-ship,0.0,0.0,0.0,1.0,0.0,
2750666716,0.0,0.0,0.0,1.0,0.0,
283586450,0.0,0.0,0.0,1.0,0.0,
285714,2.0,0.0,0.0,1.0,1.0,
28816439,0.0,0.0,0.0,1.0,0.0,
28anmol,0.0,0.0,0.0,1.0,0.0,
29riyasaxena,25.0,0.0,8.0,0.0,22.0,
2Kaleb,0.0,0.0,0.0,1.0,0.0,
2ZYH3,0.0,0.0,0.0,1.0,0.0,
2braincellz,0.0,0.0,0.0,2.0,0.0,
2catycm,0.0,0.0,2.0,0.0,0.0,
2giosangmitom,0.0,0.0,0.0,1.0,0.0,
2hkas,0.0,0.0,0.0,1.0,0.0,
2niuhe,0.0,0.0,0.0,1.0,0.0,
2sn,0.0,0.0,2.0,0.0,0.0,
2ySong,0.0,0.0,0.0,1.0,0.0,
300degree,0.0,0.0,0.0,1.0,0.0,
311dada,0.0,0.0,0.0,1.0,0.0,
325146,0.0,0.0,0.0,1.0,0.0,
326037785,0.0,0.0,0.0,1.0,0.0,
32bitmicro,0.0,0.0,0.0,3.0,0.0,
3310N,0.0,0.0,0.0,1.0,0.0,
34j,0.0,0.0,0.0,1.0,0.0,
365-W,0.0,0.0,0.0,1.0,0.0,
37Lime,0.0,0.0,0.0,1.0,0.0,
3DTOPO,0.0,0.0,8.0,0.0,0.0,
3T-CODE,0.0,0.0,0.0,1.0,0.0,
3asyAiden,0.0,0.0,0.0,2.0,0.0,
3le4ms1,0.0,0.0,0.0,1.0,0.0,
3t-ttt,0.0,0.0,0.0,1.0,0.0,
3tty0n,0.0,0.0,0.0,4.0,0.0,
3xcpy,0.0,0.0,0.0,1.0,0.0,
3yqq,0.0,0.0,0.0,2.0,0.0,
3zbumban,0.0,0.0,0.0,1.0,0.0,
404Wolf,0.0,0.0,0.0,1.0,0.0,
40gilad,1.0,0.0,5.0,1.0,0.0,
423351,0.0,0.0,0.0,1.0,0.0,
42Ahmed,0.0,0.0,0.0,1.0,0.0,
42dot-heeyeon-cho,0.0,0.0,0.0,1.0,0.0,
4383,0.0,0.0,0.0,1.0,0.0,
43trh,0.0,0.0,0.0,2.0,0.0,
44cK3r,0.0,0.0,3.0,1.0,0.0,
4877,0.0,0.0,1.0,0.0,0.0,
495016851,0.0,0.0,0.0,1.0,0.0,
4YHa,0.0,0.0,2.0,0.0,0.0,
4l1fe,0.0,0.0,4.0,0.0,0.0,
4lm,0.0,0.0,0.0,1.0,0.0,
51762344,0.0,0.0,0.0,1.0,0.0,
5183nischal,0.0,0.0,0.0,2.0,0.0,
51cat,0.0,0.0,0.0,1.0,0.0,
5384exe,0.0,0.0,0.0,1.0,0.0,
543877815,0.0,0.0,0.0,1.0,0.0,
5453fgjmdfk,0.0,0.0,0.0,1.0,0.0,
54huige,0.0,0.0,0.0,1.0,0.0,
56789KD,0.0,0.0,0.0,1.0,0.0,
57UU,0.0,0.0,0.0,1.0,0.0,
5ifar,0.0,0.0,0.0,3.0,0.0,
5kj41d,0.0,0.0,0.0,3.0,0.0,
5ky9uy,0.0,0.0,0.0,23.0,0.0,
5nguy,0.0,0.0,0.0,1.0,0.0,
5oclockshadow,0.0,0.0,0.0,1.0,0.0,
601469588,0.0,0.0,0.0,1.0,0.0,
610th,0.0,0.0,0.0,3.0,0.0,
63love,0.0,0.0,1.0,0.0,0.0,
64dB0y,0.0,0.0,1.0,0.0,0.0,
652466220,0.0,0.0,0.0,1.0,0.0,
666Xiao666,0.0,0.0,0.0,1.0,0.0,
66Asu,0.0,0.0,0.0,3.0,0.0,
684efs3,0.0,0.0,0.0,1.0,0.0,
686llhhhhhh,0.0,0.0,0.0,1.0,0.0,
6BCC2C3896,0.0,0.0,0.0,1.0,0.0,
6abe,0.0,0.0,0.0,1.0,0.0,
6biscuits,0.0,0.0,0.0,1.0,0.0,
7086cmd,0.0,0.0,0.0,1.0,0.0,
70Gage70,0.0,0.0,0.0,1.0,0.0,
70akaline,0.0,0.0,0.0,1.0,0.0,
734MNOOB,0.0,0.0,0.0,1.0,0.0,
735Andrew,0.0,0.0,0.0,1.0,0.0,
777Naity,0.0,0.0,1.0,0.0,0.0,
781574155,0.0,0.0,0.0,1.0,0.0,
782309745,0.0,0.0,0.0,2.0,0.0,
7SevenYU,0.0,0.0,1.0,0.0,0.0,
7TeamApp,0.0,0.0,0.0,1.0,0.0,
7osua,0.0,0.0,0.0,1.0,0.0,
